Complexity,Loss,Equation
1,0.6642169,"1.6178898"
4,0.22340906,"exp(pow_abs(-3.302753e-28, redshift))"
5,0.22339508,"exp(quart(pow_abs(-3.6245915e-8, redshift)))"
6,0.1576065,"exp(pow_abs(quart(tanh(redshift)), redshift))"
7,0.12224923,"exp(square(pow_abs(quart(tanh(redshift)), redshift)))"
8,0.08585744,"exp(square(pow_abs(tanh(atan(quart(redshift))), redshift)))"
9,0.076403625,"exp(cube(pow_abs(asinh(tanh(quart(redshift))), tanh(redshift))))"
10,0.0759447,"exp(quart(pow_abs(asinh(tanh(quart(redshift))), tanh(tanh(redshift)))))"
11,0.06644376,"exp(atan(quart(sinh(pow_abs(sin(tanh(quart(redshift))), tanh(redshift))))))"
12,0.057879813,"exp(sinh(mod(quart(pow_abs(asinh(tanh(quart(redshift))), log1p_abs(redshift))), 1.0)))"
13,0.053652797,"exp(sinh(mod(quart(pow_abs(asinh(tanh(quart(redshift))), tanh(abs(redshift)))), 1.0)))"
14,0.05241036,"exp(sinh(mod(quart(pow_abs(sin(tanh(quart(redshift))), log1p_abs(tanh(redshift)))), tanh(r))))"
16,0.05220074,"exp(sinh(sinh(sin(mod(quart(pow_abs(sin(tanh(quart(redshift))), log1p_abs(tanh(redshift)))), tanh(r))))))"
17,0.052141156,"exp(sinh(sinh(sin(mod(quart(pow_abs(sin(tanh(quart(redshift))), sin(log1p_abs(tanh(redshift))))), tanh(r))))))"
18,0.051201735,"exp(sinh(sinh(sin(mod(quart(pow_abs(sin(tanh(quart(mod(redshift, r)))), log1p_abs(log1p_abs(redshift)))), tanh(r))))))"
19,0.0487505,"exp(sinh(sinh(sin(mod(quart(pow_abs(sin(tanh(quart(mod(redshift, r)))), log1p_abs(sin(atan(redshift))))), tanh(r))))))"
20,0.048417807,"pow_abs(exp(mod(cube(pow_abs(tanh(cube(tanh(square(mod(redshift, z))))), log1p_abs(log1p_abs(log1p_abs(redshift))))) * 1.0510612, 1.0510612)), 1.0510612)"
